Draft Projection
Undrafted free agent
Priority free agent
Priority free agent
Priority free agent
Priority free agent
Priority free agent
Priority free agent
NA
Priority free agent
Priority free agent
Undrafted free agent
NA
Round 7-Priority free agent
Priority free agent
NA
NA
NA
NA
Undrafted free agent
Priority free agent
NA
NA
Undrafted free agent
Undrafted free agent
Priority free agent
Undrafted free agent
Round 7-Priority free agent
NA
NA
Priority free agent
Priority free agent
NA
NA
Priority free agent
Priority free agent
NA
NA
NA
Undrafted free agent
Priority free agent
Priority free agent
Undrafted free agent
Priority free agent
NA
Undrafted free agent
NA
NA
Priority free agent
NA
Priority free agent
NA
Free agent
Priority free agent
NA
Undrafted free agent
Priority free agent
NA
NA
NA
Priority free agent
Priority free agent
Undrafted free agent
Undrafted free agent
Kevin Williams
Marvin Harrison
Chris Clemons
Eli Manning
Calais Campbell
Johnathan Cyprien
Khalil Mack
Robert Smith
Dion Jordan
Marshawn Lynch
Colin Kaepernick
Riley Reiff
Vince Wilfork
Bruce Irvin
Sylvester Williams
NA
Duane Brown
Darren McFadden
Maurkice Pouncey
Terence Newman
Jessie Tuggle
Randy Starks
Brian Cushing
Hakeem Nicks
Charles Spencer
Terrance Knighton
Brandon Marshall (Broncos)
Antonio Cromartie
DeAndre Hopkins
Stephon Gilmore
Andre Ellington
Marshawn Lynch
Mike Daniels
Jamie Collins
Anthony Davis
Eugene Monroe
C.J. Mosley (Lions)
Olivier Vernon
D'Brickashaw Ferguson
C.J. Spiller
Sam Shields
Rob Ninkovich
Trent Cole
Kenny Britt
Perrish Cox
Dwayne Bowe
Johnathan Joseph
John Brown
Buster Skrine
Eric Wood
NA
Brent Grimes
Brian Schwenke
Justin Hunter
Marvin Jones
Kelechi Osemele
NA
Jason Pierre-Paul
Justin Blalock
Earl Mitchell
Wesley Woodyard
Akeem Ayers
Aaron Dobson
Sam Acho
D'Qwell Jackson
Aqib Talib
Jerel Worthy
Marcus Gilchrist
DeSean Jackson
Dwayne Allen
Jeremy Shockey
Terrell McClain
Terrance West
Ryan Broyles
NA
David Amerson
Martavis Bryant
Harry Douglas
Jeoffrey Pagan
Alterraun Verner
NA
Corey Linsley
Adrian Clayborn
Gavin Escobar
Patrick Robinson
Bryan Stork
Henry Melton
Jaiquawn Jarrett
Jason Campbell
Jarius Wright
NA
James Carpenter
Alvin Bailey
Cordarrelle Patterson
Ahmad Bradshaw
Tyson Clabo
Ross Cockrell
Antonio Smith
Barry Church
Chris Watt
NA
Dekoda Watson
Husain Abdullah
Ladarius Green
Chris Givens
Zach Orr
Jonas Gray
Nate Washington
NA
Stevan Ridley
Chris Matthews
Clinton McDonald
Dwan Edwards
Tony Hills
Eddie Royal
Brian Hartline
Kyle Williams (Bills)
NA
Aaron Williams
Zane Beadles
NA
Jermaine Kearse
Landry Jones
Frank Alexander
Josh Norman
Ryan Grice-Mullen
Quinton Patton
Rob Housler
NA
Jayron Hosley
Jairus Byrd
NA
Nico Johnson
Luke Willson
Travis Kelce
Nick Toon
Bene' Benwikere
J.C. Tretter
Eric Kush
NA
James Casey
Stephen Paea
George Uko
Mike McGlynn
Lamin Barrow
NA
Chris Owens
Pierre Desir
NA
Sherrick McManis
Eric Decker
Anthony Weaver
Trevor Reilly
King Dunlap
Aaron Lynch
Brian Quick
Ricky Jean-Francois
Zaviar Gooden
Travis Benjamin
Bernard Pierce
Kellen Davis
Chris Ogbonnaya
NA
NA
NA
Duke Ihenacho
Glover Quin
Owen Daniels
NA
Joseph Randle
NA
Vance McDonald
Roc Carmichael
Kory Lichtensteiger
Earl Watford
Brandon Dunn
Marcus Roberson
Marcus Cannon
NA
NA
Shaun Prater
NA
Kerwynn Williams
NA
Austin Pettis
Marquis Spruill
NA
Blidi Wreh-Wilson
BenJarvus Green-Ellis
NA
Donald Brown
NA
NA
NA
Brandon Lloyd
Matt Schaub
NA
Brandon LaFell
Steve Williams
Dexter McCluster
NA
NA
NA
Terrance Mitchell
Austin Davis
Phillip Thomas
Denico Autry
Kurt Coleman
NA
John Jerry
Desmond Bishop
Bradley Sowell
Jared Cook
Max Starks
Vince Williams
Chris Lewis-Harris
NA
Dan Skuta
Richard Rodgers
De'Anthony Thomas
Alfred Blue
NA
NA
Josh Kline
Joel Dreessen
NA
NA
NA
NA
Jarrett Boykin
NA
NA
NA
NA
Jonathan Dowling
NA
NA
Willie Jefferson
Rontez Miles
Denarius Moore
Ryan Griffin
Shelley Smith
Ramon Foster
NA
NA
Andrew Gardner
O’Brien Schofield
Phillip Supernaw
Jamarca Sanford
NA
Keshawn Martin
NA
NA
Jerrell Powe
NA
NA
NA
NA
NA
Kevin Ogletree
Caraun Reid
Bryan Braman
Larry Asante
Jarret Johnson
Trent Murphy
Mike Tolbert
NA
NA
Bernard Pollard
NA
NA
NA
NA
NA
Emmanuel Acho
Tommy Streeter
NA
Devin Taylor
NA
NA
NA
Donnie Avery
NA
NA
David Molk
NA
NA
NA
NA
NA
Patrick Lewis
NA
Max Bullough
Joe Banyard
Ryan Fitzpatrick
Will Ta'ufo'ou
Tanner Hawkinson
Colin McCarthy
NA
Kerry Wynn
NA
Larry Donnell
NA
NA
Zach Sudfeld
Daniel Fells
NA
Cornelius Washington
NA
NA
NA
NA
NA
Jarius Wynn
NA
NA
Toby Gerhart
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Anthony Sherman
NA
NA
David Arkin
NA
NA
Paul Fanaika
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Scott Crichton
NA
NA
NA
NA
NA
NA
NA
NA
NA
Senio Kelemete
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
